Name: Striatum [D1], Title: Raster plot from device '5456', Hist: False
265.5 :    9 : [891, 907, 912, 943, 950, 953, 960, 962, 967]
265.6 :    6 : [910, 920, 925, 948, 969, 980]
265.7 :   11 : [884, 896, 918, 944, 949, 951, 957, 961, 966, 970, 978]
265.8 :    1 : [929]
265.9 :    7 : [911, 952, 954, 968, 971, 973, 975]
266.0 :    4 : [906, 921, 923, 933]
266.1 :    2 : [934, 964]
266.2 :    3 : [905, 926, 937]
266.3 :    1 : [965]
266.4 :    1 : [908]
266.5 :    1 : [916]
266.6 :    3 : [889, 919, 924]
266.7 :    1 : [930]
266.8 :    4 : [890, 904, 931, 958]
266.9 :    4 : [883, 900, 915, 927]
267.0 :    4 : [901, 939, 947, 982]
267.1 :   11 : [888, 895, 897, 902, 903, 914, 928, 938, 942, 963, 976]
267.2 :   12 : [886, 893, 898, 909, 917, 922, 932, 936, 941, 955, 956, 974]
267.3 :    1 : [892]
267.4 :    6 : [887, 899, 935, 945, 972, 977]
267.5 :    8 : [885, 894, 913, 940, 946, 959, 979, 981]
267.6 :    9 : [891, 907, 912, 943, 950, 953, 960, 962, 967]
267.7 :    6 : [910, 920, 925, 948, 969, 980]
267.8 :   11 : [884, 896, 918, 944, 949, 951, 957, 961, 966, 970, 978]
267.9 :    1 : [929]
268.0 :    7 : [911, 952, 954, 968, 971, 973, 975]
268.1 :    4 : [906, 921, 923, 933]
268.2 :    2 : [934, 964]
268.3 :    3 : [905, 926, 937]
268.4 :    1 : [965]
268.5 :    1 : [908]
268.6 :    1 : [916]
268.7 :    3 : [889, 919, 924]
268.8 :    1 : [930]
268.9 :    4 : [890, 904, 931, 958]
269.0 :    4 : [883, 900, 915, 927]
269.1 :    4 : [901, 939, 947, 982]
269.2 :   11 : [888, 895, 897, 902, 903, 914, 928, 938, 942, 963, 976]
269.3 :   12 : [886, 893, 898, 909, 917, 922, 932, 936, 941, 955, 956, 974]
269.4 :    1 : [892]
269.5 :    6 : [887, 899, 935, 945, 972, 977]
269.6 :    8 : [885, 894, 913, 940, 946, 959, 979, 981]
